urn:cts:greekLit:tlg5026.msA.hmt:1.93 urn:cts:greekLit:tlg0012.tlg001.msA:1.77-1.78
urn:cts:greekLit:tlg5026.msA.hmt:1.94 urn:cts:greekLit:tlg0012.tlg001.msA:1.80
urn:cts:greekLit:tlg5026.msA.hmt:1.95 urn:cts:greekLit:tlg0012.tlg001.msA:1.81
urn:cts:greekLit:tlg5026.msA.hmt:1.96 urn:cts:greekLit:tlg0012.tlg001.msA:1.85
urn:cts:greekLit:tlg5026.msA.hmt:1.97 urn:cts:greekLit:tlg0012.tlg001.msA:1.85
urn:cts:greekLit:tlg5026.msA.hmt:1.98 urn:cts:greekLit:tlg0012.tlg001.msA:1.86
urn:cts:greekLit:tlg5026.msA.hmt:1.99 urn:cts:greekLit:tlg0012.tlg001.msA:1.86
urn:cts:greekLit:tlg5026.msA.hmt:1.100 urn:cts:greekLit:tlg0012.tlg001.msA:1.88
urn:cts:greekLit:tlg5026.msA.hmt:1.101 urn:cts:greekLit:tlg0012.tlg001.msA:1.90
urn:cts:greekLit:tlg5026.msA.hmt:1.102 urn:cts:greekLit:tlg0012.tlg001.msA:1.93
urn:cts:greekLit:tlg5026.msA.hmt:1.103 urn:cts:greekLit:tlg0012.tlg001.msA:1.96
urn:cts:greekLit:tlg5026.msA.hmt:1.104 urn:cts:greekLit:tlg0012.tlg001.msA:1.97
urn:cts:greekLit:tlg5026.msA.hmt:1.105 urn:cts:greekLit:tlg0012.tlg001.msA:1.98
urn:cts:greekLit:tlg5026.msA.hmt:1.106 urn:cts:greekLit:tlg0012.tlg001.msA:1.99
urn:cts:greekLit:tlg5026.msA.hmt:1.107 urn:cts:greekLit:tlg0012.tlg001.msA:1.99
urn:cts:greekLit:tlg5026.msA.hmt:1.108 urn:cts:greekLit:tlg0012.tlg001.msA:1.100
urn:cts:greekLit:tlg5026.msA.hmt:1.116 urn:cts:greekLit:tlg0012.tlg001.msA:1.103
urn:cts:greekLit:tlg5026.msA.hmt:1.117 urn:cts:greekLit:tlg0012.tlg001.msA:1.105
urn:cts:greekLit:tlg5026.msA.hmt:1.118 urn:cts:greekLit:tlg0012.tlg001.msA:1.106
urn:cts:greekLit:tlg5026.msA.hmt:1.119 urn:cts:greekLit:tlg0012.tlg001.msA:1.106
urn:cts:greekLit:tlg5026.msA.hmt:1.120 urn:cts:greekLit:tlg0012.tlg001.msA:1.106
urn:cts:greekLit:tlg5026.msA.hmt:1.121 urn:cts:greekLit:tlg0012.tlg001.msA:1.106
urn:cts:greekLit:tlg5026.msA.hmt:1.122 urn:cts:greekLit:tlg0012.tlg001.msA:1.108
urn:cts:greekLit:tlg5026.msA.hmt:1.123 urn:cts:greekLit:tlg0012.tlg001.msA:1.106
urn:cts:greekLit:tlg5026.msA.hmt:1.124 urn:cts:greekLit:tlg0012.tlg001.msA:1.110
urn:cts:greekLit:tlg5026.msA.hmt:1.125 urn:cts:greekLit:tlg0012.tlg001.msA:1.113
urn:cts:greekLit:tlg5026.msA.hmt:1.126 urn:cts:greekLit:tlg0012.tlg001.msA:1.113
urn:cts:greekLit:tlg5026.msA.hmt:1.127 urn:cts:greekLit:tlg0012.tlg001.msA:1.114
urn:cts:greekLit:tlg5026.msA.hmt:1.128 urn:cts:greekLit:tlg0012.tlg001.msA:1.114
urn:cts:greekLit:tlg5026.msA.hmt:1.129 urn:cts:greekLit:tlg0012.tlg001.msA:1.115
urn:cts:greekLit:tlg5026.msA.hmt:1.130 urn:cts:greekLit:tlg0012.tlg001.msA:1.117
urn:cts:greekLit:tlg5026.msA.hmt:1.131 urn:cts:greekLit:tlg0012.tlg001.msA:1.117
